WARNING 2026-04-06 23:26:22,365 log "POST /api/purchases/purchase-orders/ HTTP/1.1" 401 172
INFO 2026-04-06 23:26:24,839 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-04-06 23:26:26,384 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:26:26,394 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:26:26,394 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:26,410 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:26,440 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:26:26,479 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:26:45,992 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 23:26:46,011 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 23:26:46,018 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 23:26:46,049 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 23:26:56,824 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:56,839 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:58,199 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:26:58,207 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:58,208 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:26:58,221 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:26:58,246 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:26:58,277 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:27:58,661 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=27 HTTP/1.1" 200 0
INFO 2026-04-06 23:27:58,669 log "GET /api/purchases/purchase-orders/last_price/?material_id=27 HTTP/1.1" 200 10
INFO 2026-04-06 23:29:14,081 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=25 HTTP/1.1" 200 0
INFO 2026-04-06 23:29:14,089 log "GET /api/purchases/purchase-orders/last_price/?material_id=25 HTTP/1.1" 200 10
INFO 2026-04-06 23:30:51,147 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=21 HTTP/1.1" 200 0
INFO 2026-04-06 23:30:51,167 log "GET /api/purchases/purchase-orders/last_price/?material_id=21 HTTP/1.1" 200 10
ERROR 2026-04-06 23:30:55,298 log Internal Server Error: /api/purchases/purchase-orders/
Traceback (most recent call last):
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\django\db\backends\mysql\base.py", line 78, in execute
    return self.cursor.execute(query, args)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\cursors.py", line 153, in execute
    result = self._query(query)
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\cursors.py", line 322, in _query
    conn.query(q)
    ~~~~~~~~~~^^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\connections.py", line 575, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\connections.py", line 826, in _read_query_result
    result.read()
    ~~~~~~~~~~~^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\connections.py", line 1203, in read
    first_packet = self.connection._read_packet()
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\connections.py", line 782, in _read_packet
    packet.raise_for_error()
    ~~~~~~~~~~~~~~~~~~~~~~^^
